"pid","location","treatment","operation","anatomy"
"1"," 在胸外上方，前正中线旁开6寸，平第一肋间隙处。"," ①咳嗽，气喘，胸满痛；②肩背痛。"," 向外斜刺或平刺0．5～0．8寸，不可向内深刺，以免伤及肺脏、引起气胸。"," 当胸大肌、胸小肌处，内侧深层为第1肋间内、外肌；上外侧有腋动、静脉， 胸肩峰动、静脉；布有锁骨上神经中间支，胸前神经分支及第1肋间神经外侧皮支。"
"2"," 在胸外侧部，肩胛骨喙突上方，前正中线旁开６寸，锁骨下窝凹陷处。","①咳嗽，气喘，胸痛；②肩背痛。"," 向外斜刺０.５～０.８寸，不可向内深刺，以免伤及肺脏、引起气胸。"," 有胸大肌，皮下有头静脉通过，深部有胸肩峰动脉分支；布有胸前神经的分支臂丛外侧束、锁骨上神经中后支。"
"3","  肱二头肌桡侧缘，腋前纹头下３寸处。"," ①咳嗽，气喘，鼻衄；②瘿气；③上臂痛。"," 直刺0．5～l寸。","  肱二头肌外侧沟中；有头静脉及肱动、静脉分支；分布着臂外侧皮神经及肌皮神经。"
"4"," 肱二头肌桡侧缘，腋前纹头下４寸，或肘横纹上5寸处。"," ①咳嗽，气喘；②干呕；③上臂痛。"," 直刺0．5～l寸。"," 肱二头肌外侧沟中；当头静脉及桡动、静脉分支；分布有臂外侧皮神经，当肌皮神经经过处。"
"5"," 在肘横纹中，肱二头肌腱桡侧凹陷处。","①咳嗽，气喘，咳血，咽喉肿痛等肺疾；②肘臂挛痛；③急性吐泻，中暑，小儿惊风。"," 直刺0．8～1．2寸，或点刺出血，尤其用于治疗急性咽喉肿痛及急性吐泻、中暑、小儿惊风等。"," 在肘关节，当肘二头肌腱之外方，肱桡肌起始部；有桡侧返动、静脉分支及头静脉；布有前臂外侧皮神经，直下为桡神经。"
"6","  尺泽穴与太渊穴连线上，腕横纹上7寸处（。"," ①咳血，咳嗽，气喘，咽喉肿痛；②肘臂挛痛。"," 直刺0．5～l寸。","  有肱桡肌，在旋前圆肌上端之外缘，桡侧腕长、短伸肌的内缘；有头静脉、桡动、静脉；布有前臂外侧皮神经，桡神经浅支。"
"7"," 桡骨茎突上方，腕横纹上1．5寸，当肱桡肌与拇长展肌腱之间。 ","①咳嗽，气喘，咽喉肿痛；②头痛，齿痛，项强，口眼歪斜等头项疾患。"," 向上斜刺0.5～0.8寸。"," 在肱桡肌腱与拇长展肌腱之间，桡侧腕长伸肌腱内侧；有头静脉，桡动、静脉分支；布有前臂外侧皮神经和桡神经浅支的混合支。"
"8","  桡骨茎突与桡动脉之间凹陷处，腕横纹上 l寸。","①咳嗽，气喘，胸痛，咽喉肿痛；②手腕痛。"," 避开桡动脉，直刺0．3～0．5寸。","  桡侧腕屈肌腱的外侧，有旋前方肌当桡动、静脉外侧处；布有前臂外侧皮神经和桡神经浅支混合支。"
"9"," 在掌后腕横纹桡侧，桡动脉的桡侧凹陷中。"," ①咳嗽，气喘；②无脉症；③腕臂痛。"," 避开桡动脉，直刺0．3～0．5寸。"," 桡侧腕屈肌腱的外侧，拇展长肌腱内测；有桡动、静脉；布有前臂外侧皮神经和桡神经浅支混合支。"
"10","  第１掌骨中点，赤白肉际处。"," ①咳嗽，咳血；②咽干，咽喉肿痛，失音；③小儿疳积。"," 直刺0．5～0．8寸。治小儿疳积可用割治法。"," 有拇短展肌和拇指对掌肌；血管当拇指静脉回流支；布有前臂外侧皮神经和桡神经浅支混合支。"
