"pid","pname"
"1","中府"
"2","云门"
"3","天府"
"4","侠白"
"5","尺泽"
"6","孔最"
"7","列缺"
"8","经渠"
"9","太渊"
"10","鱼际"
"11","少商"
"12","商阳"
"13","二间"
"14","三间"
"15","合谷"
"16","阳溪"
"17","偏历"
"18","温溜"
"19","下廉"
"20","上廉"
"21","手三里"
"22","曲池"
"23","肘髎"
"24","手五里"
"25","臂臑"
"26","肩髃"
"27","巨骨"
"28","天鼎"
"29","扶突"
"30","口禾髎"
"31","迎香"
"32","承泣"
"33","四白"
"34","巨髎"
"35","地仓"
"36","大迎"
"37","颊车"
"38","下关"
"39","头维"
"40","人迎"
"41","水突"
"42","气舍"
"43","缺盆"
"44","气户"
"45","库房"
"46","屋翳"
"47","膺窗"
"48","乳中"
"49","乳根"
"50","不容"
"51","承满"
"52","梁门"
"53","关门"
"54","太乙"
"55","滑肉门"
"56","天枢"
"57","外陵"
"58","大巨"
"59","水道"
"60","归来"
"61","气冲"
"62","髀关"
"63","伏兔"
"64","阴市"
"65","梁丘"
"66","犊鼻"
"67","足三里"
"68","上巨虚"
"69","条口"
"70","下巨虚"
"71","丰隆"
"72","解溪"
"73","冲阳"
"74","陷谷"
"75","内庭"
"76","厉兑"
"77","隐白"
"78","大都"
"79","太白"
"80","公孙"
"81","商丘"
"82","三阴交"
"83","漏谷"
"84","地机"
"85","阴陵泉"
"86","血海"
"87","箕门"
"88","冲门"
"89","府舍"
"90","腹结"
"91","大横"
"92","腹哀"
"93","食窦"
"94","天溪"
"95","胸乡"
"96","周荣"
"97","大包"
"98","极泉"
"99","青灵"
"100","少海"
"101","灵道"
"102","通里"
"103","阴郄"
"104","神门"
"105","少府"
"106","少冲"
"107","少泽"
"108","前谷"
"109","后溪"
"110","腕骨"
"111","阳谷"
"112","养老"
"113","支正"
"114","小海"
"115","肩贞"
"116","臑俞"
"117","天宗"
"118","秉风"
"119","曲垣"
"120","肩外俞"
"121","肩中俞"
"122","天窗"
"123","天容"
"124","颧髎"
"125","听宫"
"126","睛明"
"127","攒竹"
"128","眉冲"
"129","曲差"
