"id","pid","tid"
"1","145","5"
"2","155","5"
"3","372","5"
"4","150","5"
"5","209","5"
"6","274","5"
"7","374","5"
"8","154","5"
"9","223","5"
"10","12","5"
"11","282","14"
"12","281","14"
"13","173","14"
"14","752","14"
"15","4106","14"
"16","614","14"
"17","616","14"
"18","1852","14"
"19","1489","14"
"20","5658","14"
"21","551","17"
"22","4324","17"
"23","12489","17"
"24","2390","17"
"25","1135","17"
"26","4486","17"
"27","351","17"
"28","552","17"
"29","2130","17"
"30","7543","17"
"31","1247","22"
"32","323","22"
"33","1929","22"
"34","1332","22"
"35","1672","22"
"36","3931","22"
"37","977","22"
"38","4123","22"
"39","324","22"
"40","11717","22"
"41","126","27"
"42","979","27"
"43","756","27"
"44","1277","27"
"45","553","27"
"46","897","27"
"47","193","27"
"48","3202","27"
"49","1522","27"
"50","1860","27"
"51","175","34"
"52","295","34"
"53","294","34"
"54","234","34"
"55","20","34"
"56","325","34"
"57","1068","34"
"58","16","34"
"59","1296","34"
"60","174","34"
"61","634","42"
"62","1645","42"
"63","882","42"
"64","1071","42"
"65","925","42"
"66","665","42"
"67","811","42"
"68","812","42"
"69","1249","42"
"70","301","42"
"71","899","55"
"72","1777","55"
"73","557","55"
"74","1798","55"
"75","1778","55"
"76","1759","55"
"77","2165","55"
"78","1090","55"
"79","2166","55"
"80","2228","55"
"81","184","56"
"82","387","56"
"83","183","56"
"84","846","56"
"85","1001","56"
"86","516","56"
"87","509","56"
"88","999","56"
"89","181","56"
"90","1000","56"
