"gid","name","sequence"
"1","SMARCAL1","606622.0001"
"2","SCN9A","603415.0005"
"3","AURKC","603495.0001"
"4","TTC7A","609332.0001"
"5","ATP8B1","602397.0006"
"6","ACTB","102630.0002"
"7","IVD","607036.0001"
"8","CENPF","600236.0001"
"9","DOCK8","611432.0001"
"10","UBR1","605981.0001"
"11","PROKR2","607123.0001"
"12","DNAI1","604366.0001"
"13","UBE3B","608047.0001"
"14","TBCE","604934.0001"
"15","CTSC","602365.0001"
"16","CTSC","602365.0006"
"17","MGP","154870.0001"
"18","GALC","606890.0001"
"19","SLC16A1","600682.0001"
"20","DLAT","608770.0001"
"21","PDHX","608769.0001"
"22","SUCLG1","611224.0001"
"23","GRIN2A","138253.0001"
"24","B3GAT3","606374.0001"
"25","PNPLA6","603197.0013"
"26","LCAT","606967.0001"
"27","INSR","147670.0002"
"28","TLR2","603028.0001"
"29","SAR1B","607690.0001"
"30","DLD","238331.0001"
"31","ECM1","602201.0001"
"32","LIS1","601545"
"33","YWHAE","605066"
"34","BCAM","612773.0001"
"35","TBC1D7","612655.0001"
"36","CLDN19","610036.0001"
"37","CLDN16","603959.0001"
"38","SLURP1","606119.0001"
"39","COLEC10","607620.0001"
"40","MLYCD","606761.0001"
"41","LMNA","150330.0021"
"42","POLR1C","610060.0001"
"43","FREM1","608944.0004"
"44","MAN2B1","609458.0001"
"45","MANBA","609489.0001"
"46","BCKDHA","608348.0001"
"47","BCKDHB","248611.0001"
"48","DBT","248610.0001"
"49","PIEZO2","613629.0004"
"50","SIL1","608005.0001"
"51","ACP33","608181.0001"
"52","MKS1","609883.0001"
"53","MEFV","608107.0001"
"54","SLC19A2","603941.0001"
"55","NRAS","164790.0002"
"56","SH3PXD2B","613293.0001"
"57","SHOX","312865.0003"
"58","PSAP","176801.0001"
"59","ARSA","607574.0003"
"60","GPX4","138322.0001"
"61","RMRP","157660.0001"
"62","CWC27","617170.0001"
"63","RMRP","157660.0009"
"64","HIBCH","610690.0001"
"65","CYB5A","613218.0001"
"66","CYB5R3","613213.0001"
"67","MAT1A","610550.0001"
"68","MTR","156570.0001"
"69","AUH","600529.0001"
"70","MUT","251000.0001"
"71","MMAA","607481.0001"
"72","MMAB","607568.0001"
"73","MCEE","608419.0001"
"74","MCPH1","607117.0001"
"75","RBBP8","604124.0003"
"76","NBS1","602667.0001"
"77","TUBGCP6","610053.0001"
"78","OCLN","602876.0001"
"79","WDR73","616144.0001"
"80","CANT1","613165.0001"
"81","LTBP2","602091.0005"
"82","DGUOK","601465.0001"
"83","PNPLA8","612123.0001"
"84","NDUFA1","300078.0001"
"85","NDUFA2","602137.0001"
"86","NDUFV1","161015.0001"
"87","NDUFV2","600532.0001"
"88","NDUFS1","157655.0001"
"89","NDUFS2","602985.0001"
"90","NDUFS3","603846.0001"
"91","NDUFS4","602694.0001"
"92","NDUFS6","603848.0001"
"93","NDUFS7","601825.0001"
"94","NDUFS8","602141.0001"
"95","NDUFA10","603835.0001"
"96","NDUFA11","612638.0001"
"97","NDUFAF3","612911.0001"
"98","NDUFAF1","606934.0001"
"99","NDUFB3","603839.0001"
