"mimnumber","full_name","short_name"
"100100","PRUNE BELLY SYNDROME","PBS"
"100300","ADAMS-OLIVER SYNDROME 1","AOS1"
"100800","ACHONDROPLASIA","ACH"
"101000","NEUROFIBROMATOSIS, TYPE II","NF2"
"101200","APERT SYNDROME","null"
"101400","SAETHRE-CHOTZEN SYNDROME","SCS"
"101600","PFEIFFER SYNDROME","null"
"101800","ACRODYSOSTOSIS 1 WITH OR WITHOUT HORMONE RESISTANCE","ACRDYS1"
"101900","ACROKERATOSIS VERRUCIFORMIS","AKV"
"102200","PITUITARY ADENOMA, GROWTH HORMONE-SECRETING, 1","PAGH1"
"102370","ACROMICRIC DYSPLASIA","ACMICD"
"102500","HAJDU-CHENEY SYNDROME","HJCYS"
"102530","SPERMATOGENIC FAILURE 6","SPGF6"
"102700","SEVERE COMBINED IMMUNODEFICIENCY, AUTOSOMAL RECESSIVE, T CELL-NEGATIVE, B CELL-NEGATIVE, NK CELL-NEGATIVE, DUE TO ADENOSINE DEAMINASE DEFICIENCY","null"
"103050","ADENYLOSUCCINASE DEFICIENCY","ADSLD"
"103285","ADULT SYNDROME","null"
"103500","TIETZ ALBINISM-DEAFNESS SYNDROME","TADS"
"103580","PSEUDOHYPOPARATHYROIDISM, TYPE IA","PHP1A"
"103900","HYPERALDOSTERONISM, FAMILIAL, TYPE I","HALD1"
"104100","PALMOPLANTAR KERATODERMA AND CONGENITAL ALOPECIA 1","PPKCA1"
"104200","ALPORT SYNDROME, AUTOSOMAL DOMINANT","null"
"104290","ALTERNATING HEMIPLEGIA OF CHILDHOOD 1","AHC1"
"104300","ALZHEIMER DISEASE","AD"
"104500","AMELOGENESIS IMPERFECTA, TYPE IB","AI1B"
"104530","AMELOGENESIS IMPERFECTA, TYPE IA","AI1A"
"105150","CEREBRAL AMYLOID ANGIOPATHY, CST3-RELATED","null"
"105210","AMYLOIDOSIS, HEREDITARY, TRANSTHYRETIN-RELATED","null"
"105400","AMYOTROPHIC LATERAL SCLEROSIS 1","ALS1"
"105550","FRONTOTEMPORAL DEMENTIA AND/OR AMYOTROPHIC LATERAL SCLEROSIS 1","FTDALS1"
"105650","DIAMOND-BLACKFAN ANEMIA 1","DBA1"
"105830","ANGELMAN SYNDROME","AS"
"106100","ANGIOEDEMA, HEREDITARY, TYPE I","HAE1"
"106190","ANHIDROSIS, ISOLATED, WITH NORMAL SWEAT GLANDS","ANHD"
"106210","ANIRIDIA 1","AN1"
"106260","ANKYLOBLEPHARON-ECTODERMAL DEFECTS-CLEFT LIP/PALATE","null"
"106300","SPONDYLOARTHROPATHY, SUSCEPTIBILITY TO, 1","SPDA1"
"107250","ANTERIOR SEGMENT DYSGENESIS 1","ASGD1"
"107480","TOWNES-BROCKS SYNDROME 1","TBS1"
"107600","APLASIA CUTIS CONGENITA, NONSYNDROMIC","ACC"
"107970","ARRHYTHMOGENIC RIGHT VENTRICULAR DYSPLASIA, FAMILIAL, 1","ARVD1"
"108120","ARTHROGRYPOSIS, DISTAL, TYPE 1A","DA1A"
"108145","ARTHROGRYPOSIS, DISTAL, TYPE 5","DA5"
"108300","STICKLER SYNDROME, TYPE I","STL1"
"108500","EPISODIC ATAXIA, TYPE 2","EA2"
"108600","SPASTIC ATAXIA 1, AUTOSOMAL DOMINANT","SPAX1"
"108720","ATELOSTEOGENESIS, TYPE I","AO1"
"108721","ATELOSTEOGENESIS, TYPE III","AO3"
"108900","ATRIAL SEPTAL DEFECT 7 WITH OR WITHOUT ATRIOVENTRICULAR CONDUCTION DEFECTS","ASD7"
"109150","MACHADO-JOSEPH DISEASE","MJD"
"109400","BASAL CELL NEVUS SYNDROME","BCNS"
"110100","BLEPHAROPHIMOSIS, PTOSIS, AND EPICANTHUS INVERSUS","BPES"
"110800","BLOOD GROUP, I SYSTEM","Ii"
"112240","COLE-CARPENTER SYNDROME 1","CLCRP1"
"112250","DIAPHYSEAL MEDULLARY STENOSIS WITH MALIGNANT FIBROUS HISTIOCYTOMA","DMSMFH"
"112410","HYPERTENSION AND BRACHYDACTYLY SYNDROME","HTNB"
"112500","BRACHYDACTYLY, TYPE A1","BDA1"
"112600","BRACHYDACTYLY, TYPE A2","BDA2"
"113000","BRACHYDACTYLY, TYPE B1","BDB1"
"113100","BRACHYDACTYLY, TYPE C","BDC"
"113500","BRACHYOLMIA TYPE 3","BCYM3"
"113620","BRANCHIOOCULOFACIAL SYNDROME","BOFS"
"113650","BRANCHIOOTORENAL SYNDROME 1","BOR1"
"113750","SKIN/HAIR/EYE PIGMENTATION, VARIATION IN, 4","SHEP4"
"113800","EPIDERMOLYTIC HYPERKERATOSIS","EHK"
"113900","PROGRESSIVE FAMILIAL HEART BLOCK, TYPE IA","PFHB1A"
"113970","BURKITT LYMPHOMA","BL"
"114290","CAMPOMELIC DYSPLASIA","null"
"114300","ARTHROGRYPOSIS, DISTAL, TYPE 3","DA3"
"114480","BREAST CANCER","null"
"114550","HEPATOCELLULAR CARCINOMA","null"
"115150","CARDIOFACIOCUTANEOUS SYNDROME 1","CFC1"
"115300","HYPERCAROTENEMIA AND VITAMIN A DEFICIENCY, AUTOSOMAL DOMINANT","null"
"115310","PARAGANGLIOMAS 4","PGL4"
"115700","CATARACT 4, MULTIPLE TYPES","CTRCT4"
"115900","CATARACT 42","CTRCT42"
"116200","CATARACT 1, MULTIPLE TYPES","CTRCT1"
"116300","CATARACT 30, MULTIPLE TYPES","CTRCT30"
"116400","CATARACT 41","CTRCT41"
"116700","CATARACT 13 WITH ADULT i PHENOTYPE","CTRCT13"
"116800","CATARACT 5, MULTIPLE TYPES","CTRCT5"
"116860","CEREBRAL CAVERNOUS MALFORMATIONS","CCM"
