"pid","description","tid"
"1","Short stature, disproportionate","2"
"2","Adult male height 136-157 cm","2"
"3","Adult female height 107-143 cm","2"
"4","Intrauterine growth retardation (50%)","4"
"5","Short trunk","4"
"6","Corneal opacities","9"
"7","Myopia","9"
"8","Astigmatism","9"
"9","Depressed nasal bridge","10"
"10","Bulbous nasal tip","10"
"11","Microdontia","12"
"12","Short neck","13"
"13","Arteriosclerosis","16"
"14","Hypertension, renal","16"
"15","Protruding abdomen","28"
"16","Nephrotic syndrome","39"
"17","Focal segmental glomerulosclerosis","39"
"18","Scarred glomerular tufts","39"
"19","Perihilar mesangial deposition of proteinaceous material","39"
"20","Renal failure","39"
"21","Hypertension","39"
"22","Spondyloepiphyseal dysplasia","42"
"23","Osteopenia","42"
"24","Lumbar lordosis","44"
"25","Platyspondyly","44"
"26","Ovoid vertebral bodies","44"
"27","Thoracic kyphosis","44"
"28","Short, broad iliac bones","45"
"29","Slanted acetabular roofs","45"
"30","Shallow acetabular fossae","45"
"31","Small capital femoral epiphyses","46"
"32","Laterally displaced femoral heads","46"
"33","Hyperpigmented macules","50"
"34","Fine hair","54"
"35","Coarse hair","54"
"36","Normal intelligence","57"
"37","Motor delay","57"
"38","Transient ischemic attacks","57"
"39","Moyamoya","57"
"40","Cerebral infarcts","57"
"41","High pitched voice","60"
"42","Elevated thyroid stimulating hormone (TSH)","62"
"43","Normal growth hormone studies","62"
"44","Neutropenia","63"
"45","Lymphopenia","63"
"46","Thrombocytopenia","63"
"47","Anemia","63"
"48","Recurrent infections (fungal, viral, bacterial)","64"
"49","Defective cellular immunity","64"
"50","Absent mitogenic response","64"
"51","T-cell deficiency","64"
"52","Decreased CD4+ and CD3+/CD4+ lymphocytes","64"
"53","Abnormal immunoglobulin levels","64"
"54","Proteinuria","72"
"55","Waddling gait","73"
"56","Marked variation in severity - severe early onset disease (neonatal period) and milder juvenile disease (onset 8-13 years)","73"
"57","Hearing impairment, asymmetric (in some patients with HSAN2D)","8"
"58","Anosmia","10"
"59","Hyposmia","10"
"60","Reduced numbers of tongue fungiform papilla (in some patients with HSAN2D)","11"
"61","Urinary incontinence (in some patients with HSAN2D)","41"
"62","Neuropathic joints","42"
"63","Painless fractures due to injury","42"
"64","Bone deformities resulting from untreated fractures","42"
"65","Bone dysplasia (in some patients)","42"
"66","Ulceration of digits","47"
"67","Ulceration of digits","48"
"68","Distal painless ulcers","50"
"69","Hypohidrosis (in patients with HSAN2D)","50"
"70","Anhidrosis (in patients with HSAN2D)","50"
"71","Isolated absence of pain sensation","57"
"72","Anosmia","57"
"73","Autonomic dysfunction (in patients with HSAN2D)","57"
"74","Isolated absence of pain sensation","58"
"75","Temperature sensation may be diminished","58"
"76","All other sensory modalities are intact","58"
"77","Normal peripheral nerve biopsy","58"
"78","Hyporeflexia","58"
"79","Loss of myelinated fibers seen in sural nerve biopsy (in patients with HSAN2D)","58"
"80","Reduced sensory nerve action potential amplitudes (in patients with HSAN2D)","58"
"81","Reduced sensory nerve conduction velocities (in patients with HSAN2D)","58"
"82","Normal axonal flare response after intradermal histamine injection","72"
"83","Onset in infancy or childhood","73"
"84","Variable severity (in patients with HSAN2D)","73"
"85","Affected individuals are highly prone to burn-related injuries","73"
"86","Large spermatozoa","72"
"87","Irregularly shaped sperm heads","72"
"88","Multi-tailed spermatozoa","72"
"89","Polyploid sperm heads","72"
"90","Intrauterine growth retardation","4"
"91","Ventricular septal defect (rare)","15"
"92","Cystic adenomatoid malformation, congenital (rare)","21"
"93","Omphalocele (rare)","28"
"94","Autoimmune hepatitis (rare)","29"
"95","Common bile duct dilation (in some patients)","31"
"96","Multiple areas of atresia along the small and large intestines","33"
"97","Intestinal malrotation (in some patients)","33"
"98","Intraluminal calcification on prenatal ultrasound or plain abdominal radiographs","33"
"99","Bowel distention on prenatal ultrasound","33"
"100","Multiple small luminae with a sieve-like appearance on microscopic examination","33"
"101","Mucous membrane ulceration (in some patients)","33"
"102","Granulation tissue (in some patients)","33"
"103","Bloody diarrhea","33"
"104","Apoptotic enteropathy","33"
"105","Focal scarring","33"
"106","Disorganized epithelial architecture","33"
"107","Tufting","33"
"108","Loss of apical mucin","33"
"109","Glandular distortion and necrosis","33"
"110","Crypt abscesses","33"
"111","Inflammatory infiltrate in lamina propria","33"
"112","Psoriasis (rare)","50"
"113","Onychopathy (rare)","53"
"114","Transient alopecia in early childhood (in some patients)","54"
"115","Autoimmune thyroiditis (rare)","62"
"116","Diabetes, type 1 (rare)","62"
"117","Autoimmune hemolytic anemia (rare)","63"
"118","IgM immunodeficiency (in some patients)","64"
"119","Immunodeficiency, severe combined (in some patients)","64"
"120","Thymus hypoplasia (in some patients)","64"
"121","Autoimmunity (rare)","64"
"122","Polyhydramnios","68"
"123","Fatal in first few months of life in most cases","73"
"124","Intrahepatic cholestasis, episodic, recurrent","29"
"125","Jaundice, episodic","29"
"126","Hepatomegaly","29"
"127","Progression to end-stage liver disease does not occur","29"
"128","Pancreatitis","30"
"129","Jaundice, episodic","50"
"130","Pruritus, episodic","50"
"131","Normal or mildly increased serum gamma-GGT ","72"
"132","Conjugated hyperbilirubinemia","72"
"133","Increased serum bile acids","72"
"134","Disease-free intervals can last weeks to years during which there is no clinical or biochemical evidence of cholestasis","73"
"135","Variable age at onset, range from infancy to adulthood","73"
"136","Variable frequency and severity","73"
