"pid","description","tid","des_ch"
"1","Short stature, disproportionate","2",
"2","Adult male height 136-157 cm","2",
"3","Adult female height 107-143 cm","2",
"4","Intrauterine growth retardation (50%)","4",
"5","Short trunk","4",
"6","Corneal opacities","9","角膜混浊"
"7","Myopia","9","近视"
"8","Astigmatism","9","散光"
"9","Depressed nasal bridge","10","郁闷的鼻梁"
"10","Bulbous nasal tip","10","球茎鼻尖"
"11","Microdontia","12","小牙"
"12","Short neck","13","短脖子"
"13","Arteriosclerosis","16","动脉硬化"
"14","Hypertension, renal","16","高血压，肾脏"
"15","Protruding abdomen","28","腹部突出"
"16","Nephrotic syndrome","39","肾病综合症"
"17","Focal segmental glomerulosclerosis","39","局灶性节段性肾小球硬化"
"18","Scarred glomerular tufts","39","疤痕的肾小球簇"
"19","Perihilar mesangial deposition of proteinaceous material","39","胃肠道系膜周围沉积蛋白质物质"
"20","Renal failure","39","肾功能衰竭"
"21","Hypertension","39","高血压"
"22","Spondyloepiphyseal dysplasia","42","脊柱发育不良"
"23","Osteopenia","42","骨质疏松"
"24","Lumbar lordosis","44","腰椎前凸"
"25","Platyspondyly","44","Platyspondyly"
"26","Ovoid vertebral bodies","44","卵巢椎体"
"27","Thoracic kyphosis","44","胸椎后凸畸形"
"28","Short, broad iliac bones","45","短而宽的髂骨"
"29","Slanted acetabular roofs","45","倾斜的髋臼屋顶"
"30","Shallow acetabular fossae","45","浅髋臼窝"
"31","Small capital femoral epiphyses","46","小资本股骨骨骺"
"32","Laterally displaced femoral heads","46","横向移位的股骨头"
"33","Hyperpigmented macules","50",
"34","Fine hair","54",
"35","Coarse hair","54",
"36","Normal intelligence","57","正常情报"
"37","Motor delay","57","电机延迟"
"38","Transient ischemic attacks","57","短暂性脑缺血发作"
"39","Moyamoya","57","烟雾"
"40","Cerebral infarcts","57","脑梗塞"
"41","High pitched voice","60",
"42","Elevated thyroid stimulating hormone (TSH)","62",
"43","Normal growth hormone studies","62",
"44","Neutropenia","63",
"45","Lymphopenia","63",
"46","Thrombocytopenia","63",
"47","Anemia","63",
"48","Recurrent infections (fungal, viral, bacterial)","64",
"49","Defective cellular immunity","64",
"50","Absent mitogenic response","64",
"51","T-cell deficiency","64",
"52","Decreased CD4+ and CD3+/CD4+ lymphocytes","64",
"53","Abnormal immunoglobulin levels","64",
"54","Proteinuria","72",
"55","Waddling gait","73",
"56","Marked variation in severity - severe early onset disease (neonatal period) and milder juvenile disease (onset 8-13 years)","73",
"57","Hearing impairment, asymmetric (in some patients with HSAN2D)","8","听力障碍，不对称（部分HSAN2D患者）"
"58","Anosmia","10","嗅觉丧失症"
"59","Hyposmia","10","嗅觉减退"
"60","Reduced numbers of tongue fungiform papilla (in some patients with HSAN2D)","11","舌头真菌乳头数量减少（部分HAND患者）"
"61","Urinary incontinence (in some patients with HSAN2D)","41","尿失禁（在一些患有HAND的患者中）"
"62","Neuropathic joints","42","神经性关节"
"63","Painless fractures due to injury","42","由于受伤导致的无痛性骨折"
"64","Bone deformities resulting from untreated fractures","42","未经治疗的骨折导致的骨骼畸形"
"65","Bone dysplasia (in some patients)","42","骨发育不良（某些患者）"
"66","Ulceration of digits","47","数字溃疡"
"67","Ulceration of digits","48","数字溃疡"
"68","Distal painless ulcers","50",
"69","Hypohidrosis (in patients with HSAN2D)","50",
"70","Anhidrosis (in patients with HSAN2D)","50",
"71","Isolated absence of pain sensation","57","孤立的没有疼痛感"
"72","Anosmia","57","嗅觉丧失症"
"73","Autonomic dysfunction (in patients with HSAN2D)","57","自主神经功能紊乱（HAND患者）"
"74","Isolated absence of pain sensation","58","孤立的没有疼痛感"
"75","Temperature sensation may be diminished","58","温度感觉可能会减弱"
"76","All other sensory modalities are intact","58","所有其他感官方式都完好无损"
"77","Normal peripheral nerve biopsy","58","正常周围神经活检"
"78","Hyporeflexia","58","反射减弱"
"79","Loss of myelinated fibers seen in sural nerve biopsy (in patients with HSAN2D)","58","在腓肠神经活检中观察到有髓纤维的丧失（在HAND患者中）"
"80","Reduced sensory nerve action potential amplitudes (in patients with HSAN2D)","58","降低感觉神经动作电位幅度（HAND患者）"
"81","Reduced sensory nerve conduction velocities (in patients with HSAN2D)","58","感觉神经传导速度降低（HSA 2D患者）"
"82","Normal axonal flare response after intradermal histamine injection","72",
"83","Onset in infancy or childhood","73",
"84","Variable severity (in patients with HSAN2D)","73",
"85","Affected individuals are highly prone to burn-related injuries","73",
"86","Large spermatozoa","72",
"87","Irregularly shaped sperm heads","72",
"88","Multi-tailed spermatozoa","72",
"89","Polyploid sperm heads","72",
"90","Intrauterine growth retardation","4",
"91","Ventricular septal defect (rare)","15","室间隔缺损（罕见）"
"92","Cystic adenomatoid malformation, congenital (rare)","21","囊性腺瘤样畸形，先天性（罕见）"
"93","Omphalocele (rare)","28","Omphalocele（罕见）"
"94","Autoimmune hepatitis (rare)","29","自身免疫性肝炎（罕见）"
"95","Common bile duct dilation (in some patients)","31","胆总管扩张（部分患者）"
"96","Multiple areas of atresia along the small and large intestines","33","沿小肠和大肠的多个闭锁区域"
"97","Intestinal malrotation (in some patients)","33","肠旋转不良（某些患者）"
"98","Intraluminal calcification on prenatal ultrasound or plain abdominal radiographs","33","产前超声或腹部平片的腔内钙化"
"99","Bowel distention on prenatal ultrasound","33","肠道超声检查发生肠道扩张"
